;Nice;Toulouse;Bordeaux;Rennes;Lille;Strasbourg;Paris
ech;0,017416935;0,028474558;0,031553911;0,036099729;0,037087598;0,040557874;0,053130351
capeinsSOL0;0,014171996;0,02873449;0,057861708;0,040836296;0,036956787;0,032570539;0,033363978
ffH10;0,016285377;0,028954182;0,029143471;0,033708285;0,033804908;0,030847543;0,036725589
flir1SOL0;0,015917371;0,034428003;0,031686368;0,039443547;0,039182661;0,039484646;0,027430179
fllat1SOL0;0,029963281;0,035960461;0,040206103;0,052796954;0,040150257;0,049384195;0,036848726
flsen1SOL0;0,022656845;0,027856117;0,026713979;0,039593217;0,037941323;0,037527516;0,028884551
flvis1SOL0;0,010458523;0,016727203;0,019890959;0,041265478;0,025610966;0,02597635;0,024893987
hcoulimSOL0;0,02071892;0,031567616;0,035671135;0,052222764;0,052311087;0,043828599;0,043933846
huH2;0,055658089;0,098301356;0,177203231;0,065737065;0,047302987;0,063395708;0,054549541
nbSOL0_HMoy;0,010063323;0,024951611;0,030122044;0,032383477;0,034479841;0,039280347;0,027578985
nH20;0,001831549;0,007429859;0,007548883;0,012334931;0,015365882;0,015402707;0,020338707
ntSOL0_HMoy;0,011207233;0,034291453;0,029255107;0,033901844;0,032344188;0,041370013;0,025255387
pMER0;0,03269904;0,051844468;0,053197161;0,060624357;0,05803603;0,08043165;0,054676618
rr1SOL0;0,004564061;0,014720629;0,014311726;0,021105727;0,022523031;0,016670951;0,015963568
tH2;0,018665686;0,056085982;0,096979401;0,105307592;0,092727873;0,093079929;0,224199305
tH2_VGrad_2.100;0,022081395;0,224019169;0,063606425;0,04309889;0,104563476;0,057629962;0,043804819
tH2_XGrad;0,0192161;0,042682262;0,040567645;0,041163323;0,042829322;0,049682615;0,031719917
tH2_YGrad;0,59436254;0,036819056;0,040670302;0,04225383;0,04353557;0,040870089;0,033491881
tpwHPA850;0,016235566;0,040922606;0,036051005;0,042644477;0,044605852;0,049730707;0,037467064
ux1H10;0,023306452;0,037353545;0,037820031;0,048460609;0,056360162;0,040492416;0,048417251
vapcSOL0;0,018582395;0,060470174;0,058358918;0,059367874;0,053335303;0,059058397;0,051620026
vx1H10;0,023937324;0,037405198;0,041580486;0,055649734;0,048944894;0,052727248;0,045705724
;1;1;1;1;1;1;1
